Universitas,Program,Tahun,Penerimaan,Program_Studi,UKT-1,UKT-2,UKT-3,UKT-4,UKT-5,UKT-6,UKT-7,UKT-8,UKT-9,UKT-10,UKT-11
UGM,D4,2025/2026,SNBP/SNBT,Teknologi Rekayasa Perangkat Lunak,0,0,3325000,6650000,9975000,13300000,,,,,
UGM,D4,2025/2026,SNBP/SNBT,Teknologi Rekayasa Mesin,0,0,3325000,6650000,9975000,13300000,,,,,
UGM,D4,2025/2026,SNBP/SNBT,Teknologi Rekayasa Elektro,0,0,3325000,6650000,9975000,13300000,,,,,
UGM,D4,2025/2026,SNBP/SNBT,Teknologi Rekayasa Instrumentasi dan Kontrol,0,0,3325000,6650000,9975000,13300000,,,,,
UGM,D4,2025/2026,SNBP/SNBT,Teknologi Survei dan Pemetaan Dasar,0,0,3325000,6650000,9975000,13300000,,,,,
UGM,D4,2025/2026,SNBP/SNBT,Sistem Informasi Geografis,0,0,3325000,6650000,9975000,13300000,,,,,
UGM,D4,2025/2026,SNBP/SNBT,Pengembangan Produk Agroindustri,0,0,3325000,6650000,9975000,13300000,,,,,
UGM,D4,2025/2026,SNBP/SNBT,Teknik Pengelolaan dan Perawatan Alat Berat,0,0,3325000,6650000,9975000,13300000,,,,,
UGM,D4,2025/2026,SNBP/SNBT,Teknologi Rekayasa Internet,0,0,3325000,6650000,9975000,13300000,,,,,
UGM,D4,2025/2026,SNBP/SNBT,Teknik Pengelolaan dan Pemeliharaan Infrastruktur Sipil,0,0,3325000,6650000,9975000,13300000,,,,,
UGM,D4,2025/2026,SNBP/SNBT,Teknologi Rekayasa Pelaksanaan Bangunan Sipil,0,0,3325000,6650000,9975000,13300000,,,,,
UGM,D4,2025/2026,SNBP/SNBT,Teknologi Veteriner,0,0,3325000,6650000,9975000,13300000,,,,,
UGM,D4,2025/2026,SNBP/SNBT,Manajemen Informasi Kesehatan,0,0,3325000,6650000,9975000,13300000,,,,,
UGM,D4,2025/2026,SNBP/SNBT,Pengelolaan Hutan,0,0,3325000,6650000,9975000,13300000,,,,,
UGM,D4,2025/2026,SNBP/SNBT,Bisnis Perjalanan Wisata,0,0,2850000,5700000,8550000,11400000,,,,,
UGM,D4,2025/2026,SNBP/SNBT,Manajemen dan Penilaian Properti,0,0,2850000,5700000,8550000,11400000,,,,,
UGM,D4,2025/2026,SNBP/SNBT,Pengelolaan Arsip dan Rekaman Informasi,0,0,2850000,5700000,8550000,11400000,,,,,
UGM,D4,2025/2026,SNBP/SNBT,Bahasa Inggris,0,0,2850000,5700000,8550000,11400000,,,,,
UGM,D4,2025/2026,SNBP/SNBT,Bahasa Jepang untuk Komunikasi Bisnis dan Profesional,0,0,2850000,5700000,8550000,11400000,,,,,
UGM,D4,2025/2026,SNBP/SNBT,Akuntansi Sektor Publik,0,0,2850000,5700000,8550000,11400000,,,,,
UGM,D4,2025/2026,SNBP/SNBT,Pembangunan Ekonomi Kewilayahan,0,0,2850000,5700000,8550000,11400000,,,,,
UGM,D4,2025/2026,SNBP/SNBT,Perbankan,0,0,2850000,5700000,8550000,11400000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Kedokteran,0,0,6175000,12350000,18525000,24700000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Kedokteran Hewan,0,0,6175000,12350000,18525000,24700000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Kedokteran Gigi,0,0,6175000,12350000,18525000,24700000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Farmasi,0,0,4325000,8650000,12975000,17300000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Ilmu Keperawatan,0,0,4325000,8650000,12975000,17300000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Teknik Mesin,0,0,3375000,6750000,10125000,13500000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Teknik Nuklir,0,0,3075000,6150000,9225000,12300000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Psikologi,0,0,2750000,5500000,8250000,11000000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Teknik Geologi,0,0,3075000,6150000,9225000,12300000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Teknologi Hasil Perikanan,0,0,2500000,5000000,7500000,10000000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Perencanaan Wilayah dan Kota,0,0,3075000,6150000,9225000,12300000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Arsitektur,0,0,3075000,6150000,9225000,12300000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Teknik Geodesi,0,0,2750000,5500000,8250000,11000000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Teknik Kimia,0,0,3375000,6750000,10125000,13500000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Teknik Elektro,0,0,3075000,6150000,9225000,12300000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Teknik Industri,0,0,3075000,6150000,9225000,12300000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Teknologi Industri Pertanian,0,0,2750000,5500000,8250000,11000000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Teknik Fisika,0,0,2750000,5500000,8250000,11000000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Teknik Sipil,0,0,3075000,6150000,9225000,12300000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Elektronika dan Instrumentasi,0,0,2500000,5000000,7500000,10000000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Gizi,0,0,3075000,6150000,9225000,12300000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Teknik Biomedis,0,0,3075000,6150000,9225000,12300000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Teknik Pertanian,0,0,2750000,5500000,8250000,11000000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Teknologi Pangan dan Hasil Pertanian,0,0,2750000,5500000,8250000,11000000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Higiene Gigi,0,0,3375000,6750000,10125000,13500000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Biologi,0,0,3075000,6150000,9225000,12300000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Kimia,0,0,2500000,5000000,7500000,10000000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Teknik Infrastruktur Lingkungan,0,0,3075000,6150000,9225000,12300000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Teknik Sumber Daya Air,0,0,3075000,6150000,9225000,12300000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Geofisika,0,0,2500000,5000000,7500000,10000000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Fisika,0,0,2500000,5000000,7500000,10000000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Mikrobiologi Pertanian,0,0,2500000,5000000,7500000,10000000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Kehutanan,0,0,2750000,5500000,8250000,11000000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Ilmu dan Industri Peternakan,0,0,2750000,5500000,8250000,11000000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Agronomi,0,0,2500000,5000000,7500000,10000000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Akuakultur,0,0,2500000,5000000,7500000,10000000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Ekonomi Pertanian dan Agribisnis,0,0,2500000,5000000,7500000,10000000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Ilmu Tanah,0,0,2500000,5000000,7500000,10000000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Manajemen Sumberdaya Akuatik,0,0,2500000,5000000,7500000,10000000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Penyuluhan dan Komunikasi Pertanian,0,0,2500000,5000000,7500000,10000000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Proteksi Tanaman,0,0,2500000,5000000,7500000,10000000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Teknologi Informasi,0,0,3075000,6150000,9225000,12300000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Geografi Lingkungan,0,0,2500000,5000000,7500000,10000000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Kartografi dan Penginderaan Jauh,0,0,2500000,5000000,7500000,10000000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Akuntansi,0,0,2300000,4600000,6900000,9200000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Manajemen,0,0,2300000,4600000,6900000,9200000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Hukum,0,0,2300000,4600000,6900000,9200000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Ilmu Komputer,0,0,2500000,5000000,7500000,10000000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Ilmu Ekonomi,0,0,2300000,4600000,6900000,9200000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Manajemen dan Kebijakan Publik,0,0,2300000,4600000,6900000,9200000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Ilmu Hubungan Internasional,0,0,2200000,4400000,6600000,8800000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Ilmu Komunikasi,0,0,2300000,4600000,6900000,9200000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Pembangunan Sosial dan Kesejahteraan,0,0,2200000,4400000,6600000,8800000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Pariwisata,0,0,1900000,3800000,5700000,7600000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Statistika,0,0,2500000,5000000,7500000,10000000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Matematika,0,0,2500000,5000000,7500000,10000000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Ilmu Aktuaria,0,0,2500000,5000000,7500000,10000000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Arkeologi,0,0,2300000,4600000,6900000,9200000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Pembangunan Wilayah,0,0,2256000,4512000,6768000,9025000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Bahasa dan Sastra Prancis,0,0,1900000,3800000,5700000,7600000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Sastra Arab,0,0,1900000,3800000,5700000,7600000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Bahasa dan Sastra Indonesia,0,0,1900000,3800000,5700000,7600000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Bahasa dan Kebudayaan Korea,0,0,1900000,3800000,5700000,7600000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Bahasa dan Kebudayaan Jepang,0,0,1900000,3800000,5700000,7600000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Bahasa Sastra dan Budaya Jawa,0,0,1900000,3800000,5700000,7600000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Sastra Inggris,0,0,2200000,4400000,6600000,8664000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Politik dan Pemerintahan,0,0,2053000,4107000,6160000,8214000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Antropologi Budaya,0,0,2053000,4107000,6160000,7885000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Sejarah,0,0,2053000,4107000,6160000,7885000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Sosiologi,0,0,1889000,3778000,5667000,7557000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Filsafat,0,0,1889000,3778000,5667000,7557000,,,,,
UI,D4,2025/2026,SNBP/SNBT,Sarjana Terapan Fisioterapi,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,10000000,15000000,
UI,D4,2025/2026,SNBP/SNBT,Sarjana Terapan Terapi Okupasi,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,10000000,15000000,
UI,D4,2025/2026,SNBP/SNBT,Sarjana Terapan Bisnis Kreatif,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,10000000,13000000,
UI,D4,2025/2026,SNBP/SNBT,Sarjana Terapan Manajemen Bisnis Pariwisata,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,10000000,13000000,
UI,D4,2025/2026,SNBP/SNBT,Sarjana Terapan Manajemen Rekod dan Arsip,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,10000000,13000000,
UI,D4,2025/2026,SNBP/SNBT,Sarjana Terapan Produksi Media,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,10000000,15000000,
UI,D3,2025/2026,SNBP/SNBT,Administrasi Asuransi dan Aktuaria,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,10000000,14000000,
UI,D3,2025/2026,SNBP/SNBT,Akuntansi,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,10000000,13000000,
UI,D3,2025/2026,SNBP/SNBT,Administrasi Keuangan dan Perbankan,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,10000000,13000000,
UI,D3,2025/2026,SNBP/SNBT,Administrasi Perkantoran,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,10000000,13000000,
UI,D3,2025/2026,SNBP/SNBT,Administrasi Perpajakan,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,10000000,13000000,
UI,D3,2025/2026,SNBP/SNBT,Hubungan Masyarakat,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,10000000,13000000,
UI,D3,2025/2026,SNBP/SNBT,Periklanan Kreatif,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,10000000,13000000,
UI,D3,2025/2026,SNBP/SNBT,Penyiaran Multimedia,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,10000000,13000000,
UI,D3,2025/2026,SNBP/SNBT,Administrasi Rumah Sakit,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,10000000,14000000,
UI,S1,2025/2026,SNBP/SNBT,Pendidikan Dokter,,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,15000000,17500000
UI,S1,2025/2026,SNBP/SNBT,Kedokteran Gigi,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,15000000,17500000,20000000
UI,S1,2025/2026,SNBP/SNBT,Ilmu Keperawatan,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,15000000,17500000,20000000
UI,S1,2025/2026,SNBP/SNBT,Farmasi,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,15000000,17500000,20000000
UI,S1,2025/2026,SNBP/SNBT,Gizi,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,15000000,17500000,19800000
UI,S1,2025/2026,SNBP/SNBT,Kesehatan Lingkungan,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,15000000,17500000,19800000
UI,S1,2025/2026,SNBP/SNBT,Kesehatan Masyarakat,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,15000000,17500000,20000000
UI,S1,2025/2026,SNBP/SNBT,Keselamatan dan Kesehatan Kerja,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,15000000,17500000,20000000
UI,S1,2025/2026,SNBP/SNBT,Biologi,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,15000000,17500000,18300000
UI,S1,2025/2026,SNBP/SNBT,Fisika,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,15000000,17500000,18300000
UI,S1,2025/2026,SNBP/SNBT,Geofisika,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,15000000,17500000,19000000
UI,S1,2025/2026,SNBP/SNBT,Geografi,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,15000000,17500000,19000000
UI,S1,2025/2026,SNBP/SNBT,Geologi,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,15000000,17500000,16900000
UI,S1,2025/2026,SNBP/SNBT,Ilmu Aktuaria,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,15000000,17500000,12800000
UI,S1,2025/2026,SNBP/SNBT,Kimia,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,15000000,17500000,18300000
UI,S1,2025/2026,SNBP/SNBT,Matematika,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,15000000,17500000,17300000
UI,S1,2025/2026,SNBP/SNBT,Statistika,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,15000000,17500000,18100000
UI,S1,2025/2026,SNBP/SNBT,Arsitektur,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,15000000,17500000,19100000
UI,S1,2025/2026,SNBP/SNBT,Arsitektur Interior,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,15000000,17500000,19100000
UI,S1,2025/2026,SNBP/SNBT,Teknik Biomedik,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,15000000,17500000,19200000
UI,S1,2025/2026,SNBP/SNBT,Teknik Bioproses,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,15000000,17500000,20000000
UI,S1,2025/2026,SNBP/SNBT,Teknik Elektro,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,15000000,17500000,19900000
UI,S1,2025/2026,SNBP/SNBT,Teknik Industri,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,15000000,17500000,19900000
UI,S1,2025/2026,SNBP/SNBT,Teknik Kimia,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,15000000,17500000,19900000
UI,S1,2025/2026,SNBP/SNBT,Teknik Komputer,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,15000000,17500000,19900000
UI,S1,2025/2026,SNBP/SNBT,Teknik Lingkungan,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,15000000,17500000,19900000
UI,S1,2025/2026,SNBP/SNBT,Teknik Mesin,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,15000000,17500000,20000000
UI,S1,2025/2026,SNBP/SNBT,Teknik Metalurgi & Material,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,15000000,17500000,19900000
UI,S1,2025/2026,SNBP/SNBT,Teknik Perkapalan,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,15000000,17500000,20000000
UI,S1,2025/2026,SNBP/SNBT,Teknik Sipil,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,15000000,17500000,19900000
UI,S1,2025/2026,SNBP/SNBT,Ilmu Komputer,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,15000000,17500000,20000000
UI,S1,2025/2026,SNBP/SNBT,Sistem Informasi,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,15000000,17500000,20000000
UI,S1,2025/2026,SNBP/SNBT,Ilmu Hukum,500000,1000000,2000000,3000000,5000000,7500000,10000000,12500000,15000000,17500000,14600000
UI,S1,2025/2026,SNBP/SNBT,Akuntansi,500000,1000000,2000000,4000000,5000000,7500000,10000000,12500000,15000000,17500000,14600000
UI,S1,2025/2026,SNBP/SNBT,Bisnis Islam,500000,1000000,2000000,3000000,5000000,7500000,10000000,12500000,15000000,17500000,14600000
UI,S1,2025/2026,SNBP/SNBT,Ilmu Ekonomi,500000,1000000,2000000,4000000,5000000,7500000,10000000,12500000,15000000,17500000,14600000
UI,S1,2025/2026,SNBP/SNBT,Ilmu Ekonomi Islam,500000,1000000,2000000,4000000,5000000,7500000,10000000,12500000,15000000,17500000,14600000
UI,S1,2025/2026,SNBP/SNBT,Manajemen,500000,1000000,2000000,3000000,5000000,7500000,10000000,12500000,15000000,17500000,14600000
UI,S1,2025/2026,SNBP/SNBT,Arkeologi,500000,1000000,2000000,3000000,4000000,7500000,10000000,12500000,15000000,17500000,9000000
UI,S1,2025/2026,SNBP/SNBT,Bahasa dan Kebudayaan Korea,500000,1000000,2000000,3000000,4000000,7500000,10000000,12500000,15000000,17500000,8300000
UI,S1,2025/2026,SNBP/SNBT,Ilmu Filsafat,500000,1000000,2000000,3000000,4000000,7500000,10000000,12500000,15000000,17500000,8000000
UI,S1,2025/2026,SNBP/SNBT,Ilmu Perpustakaan,500000,1000000,2000000,3000000,4000000,7500000,10000000,12500000,15000000,17500000,8600000
UI,S1,2025/2026,SNBP/SNBT,Ilmu Sejarah,500000,1000000,2000000,3000000,4000000,7500000,10000000,12500000,15000000,17500000,7800000
UI,S1,2025/2026,SNBP/SNBT,Sastra Arab,500000,1000000,2000000,3000000,4000000,5000000,7500000,8300000,,,
UI,S1,2025/2026,SNBP/SNBT,Sastra Belanda,500000,1000000,2000000,3000000,4000000,5000000,7500000,8300000,,,
UI,S1,2025/2026,SNBP/SNBT,Sastra Cina,500000,1000000,2000000,3000000,4000000,5000000,7500000,8300000,,,
UI,S1,2025/2026,SNBP/SNBT,Sastra Daerah untuk Sastra Jawa,500000,1000000,2000000,3000000,4000000,5000000,7500000,8300000,,,
UI,S1,2025/2026,SNBP/SNBT,Sastra Indonesia,500000,1000000,2000000,3000000,4000000,5000000,7500000,8600000,,,
UI,S1,2025/2026,SNBP/SNBT,Sastra Inggris,500000,1000000,2000000,3000000,4000000,5000000,7500000,8600000,,,
UI,S1,2025/2026,SNBP/SNBT,Sastra Jepang,500000,1000000,2000000,3000000,4000000,5000000,7500000,8300000,,,
UI,S1,2025/2026,SNBP/SNBT,Sastra Jerman,500000,1000000,2000000,3000000,4000000,5000000,7500000,8300000,,,
UI,S1,2025/2026,SNBP/SNBT,Sastra Perancis,500000,1000000,2000000,3000000,4000000,5000000,7500000,8300000,,,
UI,S1,2025/2026,SNBP/SNBT,Sastra Rusia,500000,1000000,2000000,3000000,4000000,5000000,7500000,8300000,,,
UI,S1,2025/2026,SNBP/SNBT,Psikologi,500000,1000000,2000000,3000000,4000000,5000000,7500000,10000000,12500000,14000000,
UI,S1,2025/2026,SNBP/SNBT,Antropologi Sosial,500000,1000000,2000000,3000000,4000000,5000000,7500000,7800000,,,
UI,S1,2025/2026,SNBP/SNBT,Ilmu Hubungan Internasional,500000,1000000,2000000,3000000,4000000,5000000,7500000,10000000,12500000,14000000,
UI,S1,2025/2026,SNBP/SNBT,Ilmu Komunikasi,500000,1000000,2000000,3000000,4000000,5000000,7500000,10000000,12500000,14000000,
UI,S1,2025/2026,SNBP/SNBT,Ilmu Politik,500000,1000000,2000000,3000000,4000000,5000000,7500000,,,,
UI,S1,2025/2026,SNBP/SNBT,Kesejahteraan Sosial,500000,1000000,2000000,3000000,4000000,5000000,7500000,10000000,12500000,14000000,
UI,S1,2025/2026,SNBP/SNBT,Kriminologi,500000,1000000,2000000,3000000,4000000,5000000,7500000,8600000,,,
UI,S1,2025/2026,SNBP/SNBT,Sosiologi,500000,1000000,2000000,3000000,4000000,5000000,7500000,,,,
UI,S1,2025/2026,SNBP/SNBT,Ilmu Administrasi Fiskal,500000,1000000,2000000,3000000,4000000,5000000,7500000,8600000,,,
UI,S1,2025/2026,SNBP/SNBT,Ilmu Administrasi Negara,500000,1000000,2000000,3000000,4000000,5000000,7500000,8600000,,,
UI,S1,2025/2026,SNBP/SNBT,Ilmu Administrasi Niaga,500000,1000000,2000000,3000000,4000000,5000000,7500000,8600000,,,
IPB,S1,2025/2026,SNBP/SNBT,Manajemen Sumberdaya Lahan,500000,1000000,2400000,4000000,7000000,9000000,11000000,,,,
IPB,S1,2025/2026,SNBP/SNBT,Agronomi Dan Hortikultura,500000,1000000,2400000,4000000,7000000,9000000,11000000,,,,
IPB,S1,2025/2026,SNBP/SNBT,Proteksi Tanaman,500000,1000000,2400000,4000000,7000000,9000000,11000000,,,,
IPB,S1,2025/2026,SNBP/SNBT,Arsitektur Lanskap,500000,1000000,2400000,4000000,7000000,9000000,11000000,,,,
IPB,S1,2025/2026,SNBP/SNBT,Smart Agriculture,500000,1000000,2500000,5000000,7000000,8500000,10000000,11000000,,,
IPB,S1,2025/2026,SNBP/SNBT,Kedokteran Hewan,500000,1000000,2400000,5000000,8000000,10000000,12000000,,,,
IPB,S1,2025/2026,SNBP/SNBT,Sains Biomedis,500000,1000000,2400000,5000000,8000000,10000000,12000000,,,,
